	control_early_01	control_early_02	control_early_03	control_embryo_01	control_embryo_02	control_embryo_03	control_late_01	control_late_02	control_late_03	treatment_early_01	treatment_early_02	treatment_early_03	treatment_embryo_01	treatment_embryo_02	treatment_embryo_03	treatment_late_01	treatment_late_02	treatment_late_03
JGI_V11_314973	0.0	5.23754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.752771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JGI_V11_314974	0.0	5.23754	6.619575	2.330524	4.263919	2.265501	0.0	2.0759	11.577671	0.0	0.0	8.218074	9.699203	0.643629	0.0	2.361496	0.0	0.0
JGI_V11_314977	6.68504	60.23171	8.8261	16.31367	93.806221	77.027039	27.649414	116.250413	92.621365	42.774936	17.807213	18.141765	46.071214	92.91239	83.65899	82.652359	13.773271	32.505192
JGI_V11_314978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1518	6.946602	0.0	0.0	2.267721	0.0	0.0	2.091475	0.0	0.0	0.0
JGI_V11_314979	11.141733	28.80647	6.619575	0.0	8.527838	13.593007	22.622248	6.227701	9.262137	38.022166	22.259017	22.677206	14.548804	29.340755	10.457374	9.445984	11.018617	5.000799
JGI_V11_314988	17.826773	62.85048	22.065251	0.0	14.923717	24.920513	5.027166	31.138503	13.893205	47.527707	20.033115	34.015809	2.424801	22.005566	23.006222	9.445984	27.546542	15.002396
JGI_V11_314990	0.0	13.09385	6.619575	0.0	4.263919	4.531002	2.513583	10.379501	6.946602	4.752771	4.451803	6.803162	2.424801	7.335189	8.365899	0.0	8.263963	0.0
JGI_V11_314991	6.68504	31.42524	22.065251	2.330524	14.923717	38.513519	20.108664	16.607202	30.101944	40.398551	24.484918	18.141765	29.097609	31.785818	35.555071	14.168976	11.018617	17.502796
JGI_V11_314992	2.228347	5.23754	0.0	2.330524	2.13196	4.531002	2.513583	14.531302	0.0	0.0	8.903607	0.0	2.424801	7.335189	4.18295	7.084488	2.754654	0.0
JGI_V11_315032	4.456693	39.28155	4.41305	188.772463	763.241527	940.182976	12.567915	811.676989	458.475758	40.398551	13.35541	13.606324	514.057757	897.338086	1079.200977	448.684235	509.611028	350.055915
JGI_V11_315038	2547.000152	5153.739348	1921.883364	6.991573	61.826828	31.717016	2822.753774	114.174513	273.233028	3540.814174	2922.608873	3814.306091	33.94721	19.560503	60.652768	155.858734	325.049196	85.013579
